is talkative.,is reserved.,is full of energy.,tends to be disorganized.,tends to be quiet.,has an assertive personality.,"is sometimes shy, inhibited.","is outgoing, sociable."
disagree,neutral,disagree,strongly disagree,agree,agree,agree,disagree
strongly disagree,strongly agree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree
disagree,strongly agree,neutral,agree,strongly agree,disagree,strongly agree,strongly disagree
agree,strongly disagree,agree,strongly disagree,strongly disagree,strongly agree,neutral,strongly agree
neutral,strongly agree,disagree,agree,agree,neutral,strongly agree,neutral
agree,neutral,neutral,disagree,neutral,strongly agree,disagree,agree
strongly agree,disagree,agree,agree,agree,agree,neutral,strongly agree
disagree,strongly agree,disagree,strongly disagree,agree,agree,strongly agree,disagree
agree,disagree,agree,neutral,disagree,agree,disagree,strongly agree
neutral,agree,neutral,neutral,,strongly agree,agree,neutral
neutral,neutral,strongly agree,neutral,strongly agree,strongly agree,strongly agree,strongly agree
neutral,strongly agree,agree,agree,neutral,neutral,agree,strongly disagree
neutral,agree,,neutral,agree,disagree,agree,neutral
strongly agree,neutral,agree,disagree,disagree,agree,disagree,strongly agree
disagree,agree,neutral,neutral,neutral,agree,agree,neutral
disagree,strongly agree,strongly disagree,neutral,strongly agree,disagree,agree,strongly disagree
agree,neutral,agree,strongly disagree,neutral,disagree,agree,neutral
strongly agree,neutral,strongly agree,disagree,disagree,disagree,neutral,strongly agree
neutral,neutral,agree,strongly disagree,,strongly agree,agree,disagree
strongly agree,neutral,strongly agree,strongly disagree,neutral,strongly agree,,strongly agree
neutral,strongly disagree,agree,disagree,agree,agree,neutral,agree
neutral,neutral,agree,neutral,neutral,neutral,agree,neutral
strongly agree,neutral,strongly agree,agree,strongly disagree,agree,disagree,strongly agree
agree,neutral,agree,neutral,disagree,neutral,agree,agree
neutral,neutral,neutral,strongly disagree,neutral,strongly agree,agree,neutral
disagree,agree,disagree,agree,agree,neutral,agree,neutral
agree,neutral,neutral,strongly disagree,disagree,agree,disagree,neutral
disagree,neutral,agree,strongly disagree,agree,agree,neutral,neutral
agree,disagree,strongly disagree,agree,strongly disagree,agree,disagree,agree
strongly disagree,strongly agree,strongly disagree,disagree,strongly agree,disagree,strongly agree,strongly disagree
strongly agree,strongly disagree,strongly agree,neutral,strongly disagree,neutral,disagree,strongly agree
strongly agree,,,,,,,strongly agree
disagree,strongly agree,disagree,strongly agree,strongly agree,neutral,strongly agree,disagree
disagree,strongly agree,agree,agree,strongly agree,disagree,strongly agree,neutral
agree,neutral,neutral,neutral,disagree,agree,disagree,agree
neutral,neutral,disagree,strongly disagree,agree,disagree,neutral,neutral
disagree,agree,disagree,disagree,agree,neutral,strongly agree,neutral
disagree,agree,disagree,agree,agree,neutral,agree,disagree
neutral,strongly agree,disagree,strongly agree,strongly agree,disagree,strongly agree,neutral
neutral,agree,neutral,strongly disagree,agree,neutral,neutral,disagree
disagree,agree,neutral,neutral,strongly agree,neutral,strongly agree,disagree
neutral,neutral,agree,strongly agree,neutral,neutral,disagree,neutral
strongly agree,disagree,strongly agree,neutral,strongly disagree,neutral,disagree,agree
neutral,neutral,agree,agree,disagree,neutral,disagree,neutral
neutral,agree,neutral,disagree,disagree,agree,disagree,strongly agree
strongly agree,strongly disagree,agree,neutral,strongly disagree,neutral,strongly disagree,strongly agree
disagree,strongly agree,disagree,neutral,strongly agree,neutral,agree,strongly disagree
disagree,agree,neutral,strongly disagree,agree,neutral,agree,neutral
disagree,agree,agree,strongly disagree,strongly agree,strongly disagree,agree,neutral
strongly agree,neutral,agree,agree,strongly disagree,disagree,disagree,disagree
neutral,neutral,neutral,agree,neutral,disagree,neutral,disagree
strongly agree,,agree,disagree,strongly disagree,agree,disagree,strongly agree
agree,disagree,agree,strongly disagree,disagree,agree,disagree,agree
agree,strongly agree,disagree,neutral,strongly agree,neutral,strongly agree,agree
neutral,neutral,disagree,disagree,neutral,agree,neutral,disagree
neutral,agree,neutral,strongly disagree,agree,strongly agree,agree,neutral
neutral,neutral,disagree,strongly agree,neutral,neutral,strongly agree,neutral
strongly disagree,neutral,disagree,neutral,agree,,strongly agree,disagree
strongly agree,disagree,agree,disagree,disagree,neutral,disagree,strongly agree
disagree,neutral,disagree,disagree,strongly agree,disagree,agree,disagree
strongly agree,agree,agree,disagree,strongly disagree,agree,strongly disagree,agree
neutral,neutral,neutral,,neutral,agree,neutral,strongly agree
agree,strongly disagree,agree,neutral,disagree,agree,strongly disagree,agree
disagree,strongly agree,disagree,disagree,strongly agree,disagree,agree,strongly disagree
strongly agree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree,agree
neutral,agree,agree,strongly disagree,strongly agree,disagree,agree,neutral
agree,neutral,disagree,agree,disagree,agree,disagree,neutral
disagree,strongly agree,disagree,disagree,strongly agree,strongly disagree,agree,disagree
agree,neutral,agree,strongly agree,agree,strongly agree,neutral,strongly agree
agree,agree,neutral,agree,disagree,agree,disagree,neutral
disagree,disagree,neutral,disagree,agree,disagree,neutral,disagree
agree,strongly disagree,disagree,strongly disagree,agree,agree,neutral,neutral
disagree,agree,neutral,disagree,strongly agree,strongly disagree,strongly agree,disagree
neutral,agree,neutral,agree,agree,neutral,agree,neutral
neutral,neutral,,disagree,agree,agree,agree,disagree
disagree,agree,neutral,neutral,agree,agree,agree,neutral
neutral,neutral,agree,strongly disagree,strongly agree,neutral,neutral,neutral
neutral,neutral,disagree,disagree,neutral,strongly disagree,agree,disagree
neutral,agree,neutral,disagree,agree,disagree,,neutral
